原料类型,霉变情况,来源情况,预估等级,茶渣_储存时间,果渣_褐变情况,原料是否匹配,等级是否匹配,路线_推荐强度,路线_风险等级,路线_首选目标,路线_适用原料类,路线_适用等级,匹配得分
豆制品/粮食发酵副产物,轻度,基本可追溯,良,,,0,1,高,中高,食品支线,葡萄皮/柑橘皮/脐橙副产物/猕猴桃副产物,优/良,5.0568847211124615
茶渣,严重,基本可追溯,差,否,,0,0,高,中高,食品支线,葡萄籽,优/良,0.0
茶渣,轻度,明确可追溯,良,否,,0,1,高,中,材料主线,豆腐渣/客家黄酒酒糟,良/差（优也可）,6.186617125396868
果渣（柑橘/葡萄/猕猴桃等）,严重,基本可追溯,优,,否,0,1,高,低,材料主线,茶渣,优/良/差,6.932284243615375
花生壳/板栗壳,轻度,明确可追溯,良,,,0,1,高,低到中,材料主线,五指毛桃残余/布惊根残余/黄板树根残余/其他根茎木质型中药残余,优/良/差,5.2151643193719295
果渣（柑橘/葡萄/猕猴桃等）,轻度,明确可追溯,优,,否,1,0,中,低,无害化兜底,柑橘皮/葡萄皮/葡萄籽/猕猴桃副产物/脐橙副产物/水晶梨副产物/混合果渣,差,6.043457560060129
豆制品/粮食发酵副产物,严重,明确可追溯,差,,,0,1,中高,低,材料主线,柑橘皮/葡萄皮/猕猴桃副产物/脐橙副产物/水晶梨副产物/提取后残渣,优/良/差,6.314592959783863
花生壳/板栗壳,无,明确可追溯,差,,,0,1,高,低,材料主线,茶渣,优/良/差,6.670184254895329
花生壳/板栗壳,无,基本可追溯,良,,,0,0,中,低,无害化兜底,柑橘皮/葡萄皮/葡萄籽/猕猴桃副产物/脐橙副产物/水晶梨副产物/混合果渣,差,2.036903212288259
中药残余废弃物,严重,来源不明,优,,,0,1,高,低,材料主线,茶渣,优/良/差,7.380533034357511
中药残余废弃物,无,基本可追溯,差,,,0,0,高,中,材料主线,花生壳/板栗壳,优/良,2.70321565648629
中药残余废弃物,严重,来源不明,差,,,0,1,高,中,材料主线,豆腐渣/客家黄酒酒糟,良/差（优也可）,6.3826091243623715
豆制品/粮食发酵副产物,轻度,明确可追溯,良,,,0,1,高,中,材料主线,茶渣,优/良,6.359948863445162
豆制品/粮食发酵副产物,严重,来源不明,优,,,0,1,高,中,材料主线,花生壳/板栗壳,优/良,5.74051101266709
花生壳/板栗壳,无,来源不明,良,,,0,1,高,低到中,材料主线,五指毛桃残余/布惊根残余/黄板树根残余/其他根茎木质型中药残余,优/良/差,4.7682169920736825
果渣（柑橘/葡萄/猕猴桃等）,无,明确可追溯,优,,否,0,1,中,低,能源化利用,花生壳/板栗壳,差（优/良也可）,4.938444740573269
茶渣,严重,基本可追溯,良,否,,0,1,高,中,材料主线,豆腐渣/客家黄酒酒糟,良/差（优也可）,5.984269356115
茶渣,无,明确可追溯,差,否,,0,1,高,低,前处理稳定化,豆腐渣/客家黄酒酒糟,优/良/差,6.97431062111603
花生壳/板栗壳,严重,基本可追溯,优,,,0,1,高,低,前处理稳定化,豆腐渣/客家黄酒酒糟,优/良/差,7.123034517503427
花生壳/板栗壳,轻度,明确可追溯,良,,,0,1,中高,低,农用利用/兜底去向,豆腐渣/客家黄酒酒糟,差（优/良也可）,5.734040159601334
中药残余废弃物,严重,明确可追溯,优,,,1,1,高,低到中,材料主线,五指毛桃残余/布惊根残余/黄板树根残余/其他根茎木质型中药残余,优/良/差,8.626016697225898
花生壳/板栗壳,严重,明确可追溯,优,,,1,1,高,低,材料主线,花生壳/板栗壳,优/良/差,10.856755753341925
中药残余废弃物,严重,明确可追溯,优,,,0,0,中,低,无害化兜底,茶渣,差,1.7584929756137753
中药残余废弃物,轻度,明确可追溯,优,,,1,1,中,中高,农用资源化,五指毛桃残余/布惊根残余/黄板树根残余/其他来源明确且安全性较可控的中药残余,优/良,7.305003016602896
花生壳/板栗壳,严重,基本可追溯,优,,,1,1,高,中,材料主线,花生壳/板栗壳,优/良,10.278111876865964
豆制品/粮食发酵副产物,轻度,基本可追溯,差,,,0,0,中,中高,农用资源化,五指毛桃残余/布惊根残余/黄板树根残余/其他来源明确且安全性较可控的中药残余,优/良,0.05981393521259182
花生壳/板栗壳,轻度,基本可追溯,良,,,0,1,中,中高,农用资源化,五指毛桃残余/布惊根残余/黄板树根残余/其他来源明确且安全性较可控的中药残余,优/良,3.2466018375719874
豆制品/粮食发酵副产物,严重,来源不明,优,,,1,1,高,低,前处理稳定化,豆腐渣/客家黄酒酒糟,优/良/差,10.838978461565162
豆制品/粮食发酵副产物,轻度,基本可追溯,优,,,0,1,中高,低,材料主线,柑橘皮/葡萄皮/猕猴桃副产物/脐橙副产物/水晶梨副产物/提取后残渣,优/良/差,6.300283762146101
茶渣,轻度,基本可追溯,优,否,,0,1,中高,低,农用利用/兜底去向,豆腐渣/客家黄酒酒糟,差（优/良也可）,5.5345963839627546
中药残余废弃物,严重,基本可追溯,良,,,0,1,高,中,材料主线,花生壳/板栗壳,优/良,5.9870881010501895
中药残余废弃物,严重,明确可追溯,优,,,0,1,高,低,材料主线,花生壳/板栗壳,优/良/差,6.677494341976505
茶渣,无,来源不明,差,是,,1,1,中,低,无害化兜底,茶渣,差,8.95977793568972
花生壳/板栗壳,严重,明确可追溯,差,,,0,0,高,中,材料主线,茶渣,优/良,3.460589777801738
中药残余废弃物,轻度,明确可追溯,良,,,1,1,中,中高,农用资源化,五指毛桃残余/布惊根残余/黄板树根残余/其他来源明确且安全性较可控的中药残余,优/良,6.5599843455040965
豆制品/粮食发酵副产物,无,明确可追溯,优,,,0,1,中,中高,农用资源化,五指毛桃残余/布惊根残余/黄板树根残余/其他来源明确且安全性较可控的中药残余,优/良,3.16826870868841
花生壳/板栗壳,严重,基本可追溯,良,,,0,1,中高,低,材料主线,柑橘皮/葡萄皮/猕猴桃副产物/脐橙副产物/水晶梨副产物/提取后残渣,优/良/差,5.578364731921167
茶渣,严重,基本可追溯,优,是,,0,1,中,低,能源化利用,花生壳/板栗壳,差（优/良也可）,4.90979151869425
果渣（柑橘/葡萄/猕猴桃等）,严重,基本可追溯,差,,否,0,0,高,中,材料主线,花生壳/板栗壳,优/良,3.3660378587056967
果渣（柑橘/葡萄/猕猴桃等）,无,基本可追溯,差,,否,0,1,中高,低,农用利用/兜底去向,豆腐渣/客家黄酒酒糟,差（优/良也可）,6.392419319461904
花生壳/板栗壳,轻度,基本可追溯,差,,,0,0,高,中,食品支线,柑橘皮/脐橙副产物/猕猴桃副产物/水晶梨副产物,优/良,2.604505539506064
豆制品/粮食发酵副产物,无,明确可追溯,差,,,1,1,高,中,材料主线,豆腐渣/客家黄酒酒糟,良/差（优也可）,10.274663191239439
中药残余废弃物,严重,基本可追溯,差,,,0,0,高,中高,食品支线,葡萄籽,优/良,0.27252429538353873
豆制品/粮食发酵副产物,轻度,基本可追溯,良,,,0,1,中高,低,农用材料路线,花生壳/板栗壳,良/差（优也可）,6.328793627651001
豆制品/粮食发酵副产物,严重,基本可追溯,良,,,0,1,高,中高,食品支线,葡萄皮/柑橘皮/脐橙副产物/猕猴桃副产物,优/良,0.0
果渣（柑橘/葡萄/猕猴桃等）,轻度,基本可追溯,优,,否,0,1,中,高,食品支线,茶渣,优,3.276735179337167
花生壳/板栗壳,无,来源不明,良,,,0,1,高,低,前处理稳定化,豆腐渣/客家黄酒酒糟,优/良/差,6.603141544690879
豆制品/粮食发酵副产物,严重,来源不明,差,,,1,0,中高,中高,食品支线,豆腐渣为主/客家黄酒酒糟为辅,优/良,0.0
花生壳/板栗壳,严重,明确可追溯,差,,,0,1,高,中,材料主线,豆腐渣/客家黄酒酒糟,良/差（优也可）,6.426079040601628
中药残余废弃物,无,明确可追溯,良,,,1,1,高,低到中,材料主线,五指毛桃残余/布惊根残余/黄板树根残余/其他根茎木质型中药残余,优/良/差,9.322548356975366
果渣（柑橘/葡萄/猕猴桃等）,无,基本可追溯,良,,否,0,1,高,低到中,材料主线,五指毛桃残余/布惊根残余/黄板树根残余/其他根茎木质型中药残余,优/良/差,5.002474304764872
花生壳/板栗壳,无,来源不明,优,,,0,0,中,低,无害化兜底,茶渣,差,2.2005951941616733
茶渣,轻度,来源不明,良,是,,0,1,高,低,前处理稳定化,豆腐渣/客家黄酒酒糟,优/良/差,7.130767582916953
茶渣,轻度,明确可追溯,差,否,,0,0,中,中高,农用资源化,五指毛桃残余/布惊根残余/黄板树根残余/其他来源明确且安全性较可控的中药残余,优/良,0.004805320846413608
果渣（柑橘/葡萄/猕猴桃等）,轻度,基本可追溯,优,,是,1,1,高,中,食品支线,柑橘皮/脐橙副产物/猕猴桃副产物/水晶梨副产物,优/良,10.38562563891133
花生壳/板栗壳,无,基本可追溯,良,,,1,1,高,低,材料主线,花生壳/板栗壳,优/良/差,10.680093717089958
花生壳/板栗壳,无,基本可追溯,良,,,0,0,中,低,无害化兜底,柑橘皮/葡萄皮/葡萄籽/猕猴桃副产物/脐橙副产物/水晶梨副产物/混合果渣,差,1.5096167915743366
果渣（柑橘/葡萄/猕猴桃等）,严重,明确可追溯,差,,否,0,1,中高,低,农用材料路线,花生壳/板栗壳,良/差（优也可）,5.64386729259379
豆制品/粮食发酵副产物,严重,基本可追溯,差,,,1,0,中高,中高,食品支线,豆腐渣为主/客家黄酒酒糟为辅,优/良,0.18239605908645884
豆制品/粮食发酵副产物,轻度,明确可追溯,良,,,0,1,中高,低,农用材料路线,花生壳/板栗壳,良/差（优也可）,6.251435514448348
果渣（柑橘/葡萄/猕猴桃等）,轻度,基本可追溯,优,,否,0,1,高,低,前处理稳定化,豆腐渣/客家黄酒酒糟,优/良/差,6.873756349516385
茶渣,无,来源不明,良,否,,1,1,高,中,材料主线,茶渣,优/良,10.269710681454415
花生壳/板栗壳,无,来源不明,优,,,1,1,高,低,材料主线,花生壳/板栗壳,优/良/差,10.846966441785558
果渣（柑橘/葡萄/猕猴桃等）,严重,来源不明,良,,否,0,1,中,中高,农用资源化,五指毛桃残余/布惊根残余/黄板树根残余/其他来源明确且安全性较可控的中药残余,优/良,3.395116180665716
茶渣,严重,明确可追溯,优,是,,0,1,高,低,材料主线,花生壳/板栗壳,优/良/差,6.792098148815527
果渣（柑橘/葡萄/猕猴桃等）,无,基本可追溯,优,,是,1,1,中高,低,材料主线,柑橘皮/葡萄皮/猕猴桃副产物/脐橙副产物/水晶梨副产物/提取后残渣,优/良/差,10.129011088322416
茶渣,无,基本可追溯,优,是,,0,0,中,低,无害化兜底,柑橘皮/葡萄皮/葡萄籽/猕猴桃副产物/脐橙副产物/水晶梨副产物/混合果渣,差,1.8080628384387905
花生壳/板栗壳,严重,来源不明,差,,,0,1,中,低,无害化兜底,柑橘皮/葡萄皮/葡萄籽/猕猴桃副产物/脐橙副产物/水晶梨副产物/混合果渣,差,4.56088665580888
中药残余废弃物,无,来源不明,差,,,0,1,中,低,无害化兜底,柑橘皮/葡萄皮/葡萄籽/猕猴桃副产物/脐橙副产物/水晶梨副产物/混合果渣,差,4.944256890949697
茶渣,严重,明确可追溯,良,否,,0,1,高,中高,食品支线,葡萄籽,优/良,0.0
茶渣,无,基本可追溯,差,否,,0,1,高,低到中,材料主线,五指毛桃残余/布惊根残余/黄板树根残余/其他根茎木质型中药残余,优/良/差,4.946733057730885
中药残余废弃物,无,基本可追溯,良,,,0,1,高,中,食品支线,柑橘皮/脐橙副产物/猕猴桃副产物/水晶梨副产物,优/良,5.74651389434157
果渣（柑橘/葡萄/猕猴桃等）,轻度,来源不明,差,,否,0,0,中高,中高,食品支线,豆腐渣为主/客家黄酒酒糟为辅,优/良,1.085037711644468
花生壳/板栗壳,轻度,来源不明,良,,,1,1,中,低,能源化利用,花生壳/板栗壳,差（优/良也可）,8.591161916578006
茶渣,无,基本可追溯,差,否,,0,0,高,中,食品支线,柑橘皮/脐橙副产物/猕猴桃副产物/水晶梨副产物,优/良,2.973541547677912
花生壳/板栗壳,无,基本可追溯,优,,,0,1,中,中高,农用资源化,五指毛桃残余/布惊根残余/黄板树根残余/其他来源明确且安全性较可控的中药残余,优/良,3.0662290084126798
花生壳/板栗壳,轻度,基本可追溯,差,,,0,1,中,低,无害化兜底,柑橘皮/葡萄皮/葡萄籽/猕猴桃副产物/脐橙副产物/水晶梨副产物/混合果渣,差,5.03949274538084
茶渣,严重,明确可追溯,差,是,,0,1,中高,低,材料主线,柑橘皮/葡萄皮/猕猴桃副产物/脐橙副产物/水晶梨副产物/提取后残渣,优/良/差,5.6090627911485145
中药残余废弃物,无,来源不明,差,,,0,1,高,低,前处理稳定化,豆腐渣/客家黄酒酒糟,优/良/差,6.705282994105869
中药残余废弃物,无,明确可追溯,差,,,0,0,中高,中高,食品支线,豆腐渣为主/客家黄酒酒糟为辅,优/良,0.9740156681632527
果渣（柑橘/葡萄/猕猴桃等）,严重,来源不明,优,,是,0,1,中高,低,农用材料路线,花生壳/板栗壳,良/差（优也可）,5.640435664403972
豆制品/粮食发酵副产物,严重,来源不明,差,,,0,1,高,低到中,材料主线,五指毛桃残余/布惊根残余/黄板树根残余/其他根茎木质型中药残余,优/良/差,5.460467456307027
豆制品/粮食发酵副产物,严重,明确可追溯,良,,,0,1,中高,低,材料主线,柑橘皮/葡萄皮/猕猴桃副产物/脐橙副产物/水晶梨副产物/提取后残渣,优/良/差,5.833539764454757
花生壳/板栗壳,无,明确可追溯,良,,,1,1,中,低,能源化利用,花生壳/板栗壳,差（优/良也可）,9.044786998031283
茶渣,轻度,来源不明,良,否,,1,1,高,中,材料主线,茶渣,优/良,9.768150823224694
果渣（柑橘/葡萄/猕猴桃等）,严重,来源不明,良,,否,1,1,高,中高,食品支线,葡萄皮/柑橘皮/脐橙副产物/猕猴桃副产物,优/良,0.0
茶渣,无,来源不明,良,否,,0,1,高,低,材料主线,花生壳/板栗壳,优/良/差,7.040689971567785
豆制品/粮食发酵副产物,轻度,来源不明,优,,,0,1,高,中高,食品支线,葡萄皮/柑橘皮/脐橙副产物/猕猴桃副产物,优/良,4.736092667001191
中药残余废弃物,无,明确可追溯,优,,,0,1,高,中,食品支线,柑橘皮/脐橙副产物/猕猴桃副产物/水晶梨副产物,优/良,6.202801405020088
花生壳/板栗壳,无,明确可追溯,良,,,1,1,高,中,材料主线,花生壳/板栗壳,优/良,10.228237916919047
豆制品/粮食发酵副产物,严重,基本可追溯,优,,,1,1,高,中,材料主线,豆腐渣/客家黄酒酒糟,良/差（优也可）,10.169617197272604
花生壳/板栗壳,轻度,来源不明,优,,,0,1,高,中高,食品支线,葡萄籽,优/良,4.805942458439413
果渣（柑橘/葡萄/猕猴桃等）,轻度,基本可追溯,差,,是,0,0,高,中,材料主线,花生壳/板栗壳,优/良,2.7121894533501076
中药残余废弃物,轻度,来源不明,良,,,0,1,高,中,材料主线,豆腐渣/客家黄酒酒糟,良/差（优也可）,5.740000682448916
茶渣,严重,基本可追溯,优,否,,0,1,中,中高,农用资源化,五指毛桃残余/布惊根残余/黄板树根残余/其他来源明确且安全性较可控的中药残余,优/良,2.961055772087811
中药残余废弃物,轻度,明确可追溯,差,,,0,0,高,中,食品支线,柑橘皮/脐橙副产物/猕猴桃副产物/水晶梨副产物,优/良,3.0397894504985468
果渣（柑橘/葡萄/猕猴桃等）,无,来源不明,优,,是,0,0,中,低,无害化兜底,茶渣,差,2.0414634834627154
茶渣,轻度,来源不明,差,否,,0,0,高,中,食品支线,柑橘皮/脐橙副产物/猕猴桃副产物/水晶梨副产物,优/良,2.684258771846028
豆制品/粮食发酵副产物,严重,基本可追溯,差,,,0,0,高,中高,食品支线,葡萄籽,优/良,0.0
豆制品/粮食发酵副产物,无,基本可追溯,优,,,0,1,中高,低,材料主线,柑橘皮/葡萄皮/猕猴桃副产物/脐橙副产物/水晶梨副产物/提取后残渣,优/良/差,5.916753163757901
果渣（柑橘/葡萄/猕猴桃等）,轻度,明确可追溯,差,,是,0,0,高,中,材料主线,花生壳/板栗壳,优/良,3.453328309788949
茶渣,无,来源不明,良,是,,0,1,中,中高,农用资源化,五指毛桃残余/布惊根残余/黄板树根残余/其他来源明确且安全性较可控的中药残余,优/良,2.6301278671820016
豆制品/粮食发酵副产物,严重,基本可追溯,差,,,0,0,中,高,食品支线,茶渣,优,0.0
花生壳/板栗壳,轻度,明确可追溯,良,,,0,1,高,中,食品支线,柑橘皮/脐橙副产物/猕猴桃副产物/水晶梨副产物,优/良,5.640951740194696
果渣（柑橘/葡萄/猕猴桃等）,轻度,基本可追溯,差,,否,0,0,中,中高,农用资源化,五指毛桃残余/布惊根残余/黄板树根残余/其他来源明确且安全性较可控的中药残余,优/良,0.2878942203065288
花生壳/板栗壳,严重,基本可追溯,优,,,0,1,中,高,食品支线,茶渣,优,0.47658983387694953
果渣（柑橘/葡萄/猕猴桃等）,轻度,基本可追溯,差,,否,0,1,中,低,能源化利用,花生壳/板栗壳,差（优/良也可）,4.783109821460612
果渣（柑橘/葡萄/猕猴桃等）,严重,基本可追溯,差,,是,0,1,高,中,材料主线,豆腐渣/客家黄酒酒糟,良/差（优也可）,5.533415696055321
果渣（柑橘/葡萄/猕猴桃等）,严重,基本可追溯,良,,是,0,1,高,低,材料主线,茶渣,优/良/差,7.054622622102865
中药残余废弃物,严重,来源不明,差,,,0,1,高,低,材料主线,茶渣,优/良/差,7.136639294094649
茶渣,轻度,明确可追溯,优,是,,0,1,中高,低,农用利用/兜底去向,豆腐渣/客家黄酒酒糟,差（优/良也可）,5.997719936845902
花生壳/板栗壳,无,来源不明,差,,,0,1,高,中,材料主线,豆腐渣/客家黄酒酒糟,良/差（优也可）,6.332448407426561
中药残余废弃物,轻度,明确可追溯,良,,,0,0,中,低,无害化兜底,茶渣,差,2.4471300095288604
茶渣,严重,来源不明,良,是,,0,1,高,中,材料主线,花生壳/板栗壳,优/良,5.849544385812566
豆制品/粮食发酵副产物,轻度,明确可追溯,良,,,0,1,高,低到中,材料主线,五指毛桃残余/布惊根残余/黄板树根残余/其他根茎木质型中药残余,优/良/差,4.7896269947856425
中药残余废弃物,无,基本可追溯,差,,,1,1,高,低到中,材料主线,五指毛桃残余/布惊根残余/黄板树根残余/其他根茎木质型中药残余,优/良/差,8.504763197551549
豆制品/粮食发酵副产物,轻度,来源不明,优,,,0,1,中高,低,农用材料路线,花生壳/板栗壳,良/差（优也可）,5.67368253287976
花生壳/板栗壳,严重,来源不明,优,,,0,0,中,低,无害化兜底,柑橘皮/葡萄皮/葡萄籽/猕猴桃副产物/脐橙副产物/水晶梨副产物/混合果渣,差,2.079196681328521
花生壳/板栗壳,严重,基本可追溯,差,,,0,1,高,低,材料主线,茶渣,优/良/差,7.449416621680283
豆制品/粮食发酵副产物,无,明确可追溯,良,,,0,1,高,中,材料主线,茶渣,优/良,5.579646287129206
豆制品/粮食发酵副产物,轻度,来源不明,良,,,0,1,高,中,材料主线,茶渣,优/良,6.000649261979588
花生壳/板栗壳,严重,明确可追溯,良,,,0,0,中,低,无害化兜底,柑橘皮/葡萄皮/葡萄籽/猕猴桃副产物/脐橙副产物/水晶梨副产物/混合果渣,差,2.3206334247845675
果渣（柑橘/葡萄/猕猴桃等）,无,来源不明,差,,是,0,0,中,中高,农用资源化,五指毛桃残余/布惊根残余/黄板树根残余/其他来源明确且安全性较可控的中药残余,优/良,0.0
果渣（柑橘/葡萄/猕猴桃等）,严重,明确可追溯,良,,是,1,1,高,中,食品支线,柑橘皮/脐橙副产物/猕猴桃副产物/水晶梨副产物,优/良,0.0
中药残余废弃物,轻度,基本可追溯,良,,,0,1,中高,低,材料主线,柑橘皮/葡萄皮/猕猴桃副产物/脐橙副产物/水晶梨副产物/提取后残渣,优/良/差,5.517441086619561
花生壳/板栗壳,无,基本可追溯,优,,,0,1,高,中,材料主线,豆腐渣/客家黄酒酒糟,良/差（优也可）,5.566488353725899
中药残余废弃物,无,来源不明,差,,,0,0,高,中,食品支线,柑橘皮/脐橙副产物/猕猴桃副产物/水晶梨副产物,优/良,2.6643449733675273
豆制品/粮食发酵副产物,无,明确可追溯,优,,,1,1,中高,低,农用利用/兜底去向,豆腐渣/客家黄酒酒糟,差（优/良也可）,9.935851448345398
茶渣,轻度,明确可追溯,优,是,,0,1,中高,低,农用材料路线,花生壳/板栗壳,良/差（优也可）,5.603042344012238
果渣（柑橘/葡萄/猕猴桃等）,无,来源不明,良,,否,0,1,高,中,材料主线,茶渣,优/良,6.0398595829798545
中药残余废弃物,轻度,明确可追溯,差,,,0,0,高,中高,食品支线,葡萄皮/柑橘皮/脐橙副产物/猕猴桃副产物,优/良,2.2522804826928624
茶渣,轻度,基本可追溯,优,否,,0,1,中,低,能源化利用,花生壳/板栗壳,差（优/良也可）,4.844487920787141
花生壳/板栗壳,无,明确可追溯,优,,,0,1,中高,中高,食品支线,豆腐渣为主/客家黄酒酒糟为辅,优/良,3.9837448161854487
豆制品/粮食发酵副产物,无,来源不明,差,,,1,1,高,低,前处理稳定化,豆腐渣/客家黄酒酒糟,优/良/差,11.278788231072049
茶渣,无,来源不明,差,是,,0,1,中高,低,材料主线,柑橘皮/葡萄皮/猕猴桃副产物/脐橙副产物/水晶梨副产物/提取后残渣,优/良/差,6.440171035772636
茶渣,严重,明确可追溯,差,是,,0,0,高,中高,食品支线,葡萄皮/柑橘皮/脐橙副产物/猕猴桃副产物,优/良,0.3283600826101074
中药残余废弃物,严重,基本可追溯,优,,,0,1,中,低,能源化利用,花生壳/板栗壳,差（优/良也可）,4.986205489109613
茶渣,轻度,来源不明,差,否,,1,0,中,高,食品支线,茶渣,优,3.791333786837493
中药残余废弃物,无,来源不明,优,,,0,1,高,中,材料主线,豆腐渣/客家黄酒酒糟,良/差（优也可）,5.64368228018827
花生壳/板栗壳,轻度,基本可追溯,差,,,0,0,高,中高,食品支线,葡萄皮/柑橘皮/脐橙副产物/猕猴桃副产物,优/良,2.041696413103016
中药残余废弃物,严重,基本可追溯,优,,,0,1,高,低,前处理稳定化,豆腐渣/客家黄酒酒糟,优/良/差,7.413729950265767
豆制品/粮食发酵副产物,严重,来源不明,良,,,0,1,中高,低,材料主线,柑橘皮/葡萄皮/猕猴桃副产物/脐橙副产物/水晶梨副产物/提取后残渣,优/良/差,5.63587364269044
茶渣,无,来源不明,优,否,,0,1,高,中高,食品支线,葡萄籽,优/良,5.038247092205688
果渣（柑橘/葡萄/猕猴桃等）,轻度,来源不明,优,,是,0,0,中,低,无害化兜底,茶渣,差,2.250522514485171
豆制品/粮食发酵副产物,轻度,明确可追溯,良,,,1,1,高,中,材料主线,豆腐渣/客家黄酒酒糟,良/差（优也可）,9.59620471984147
果渣（柑橘/葡萄/猕猴桃等）,严重,来源不明,良,,否,0,1,中高,低,农用材料路线,花生壳/板栗壳,良/差（优也可）,5.5964598195970225
花生壳/板栗壳,严重,来源不明,优,,,0,1,高,中,材料主线,茶渣,优/良,6.25635085906975
豆制品/粮食发酵副产物,严重,基本可追溯,差,,,1,1,中高,低,农用利用/兜底去向,豆腐渣/客家黄酒酒糟,差（优/良也可）,10.359120813712977
豆制品/粮食发酵副产物,无,来源不明,优,,,0,1,中高,低,农用材料路线,花生壳/板栗壳,良/差（优也可）,6.170653281599405
中药残余废弃物,严重,明确可追溯,良,,,0,1,高,中,材料主线,花生壳/板栗壳,优/良,6.108840957906432
茶渣,严重,基本可追溯,差,是,,0,1,高,低,前处理稳定化,豆腐渣/客家黄酒酒糟,优/良/差,7.374842791768165
豆制品/粮食发酵副产物,无,基本可追溯,差,,,1,0,中高,中高,食品支线,豆腐渣为主/客家黄酒酒糟为辅,优/良,5.227276863699404
花生壳/板栗壳,无,基本可追溯,良,,,0,1,高,低,材料主线,茶渣,优/良/差,7.0531130873509955
花生壳/板栗壳,轻度,明确可追溯,良,,,0,0,中,低,无害化兜底,茶渣,差,1.629748500516638
茶渣,严重,来源不明,良,是,,0,0,中,低,无害化兜底,柑橘皮/葡萄皮/葡萄籽/猕猴桃副产物/脐橙副产物/水晶梨副产物/混合果渣,差,2.367006163796913
花生壳/板栗壳,无,明确可追溯,差,,,0,1,高,低到中,材料主线,五指毛桃残余/布惊根残余/黄板树根残余/其他根茎木质型中药残余,优/良/差,4.531653302809098
果渣（柑橘/葡萄/猕猴桃等）,无,来源不明,差,,是,1,0,高,中,食品支线,柑橘皮/脐橙副产物/猕猴桃副产物/水晶梨副产物,优/良,6.831617566120768
茶渣,严重,基本可追溯,差,是,,0,1,高,低,材料主线,花生壳/板栗壳,优/良/差,6.784611444280396
花生壳/板栗壳,无,基本可追溯,良,,,0,1,中高,中高,食品支线,豆腐渣为主/客家黄酒酒糟为辅,优/良,4.168043627526366
花生壳/板栗壳,严重,明确可追溯,优,,,0,1,高,低,材料主线,茶渣,优/良/差,6.9488054384100995
果渣（柑橘/葡萄/猕猴桃等）,轻度,来源不明,优,,是,0,1,中高,中高,食品支线,豆腐渣为主/客家黄酒酒糟为辅,优/良,3.872276602511222
花生壳/板栗壳,无,明确可追溯,良,,,0,1,高,中高,食品支线,葡萄籽,优/良,4.521963783696764
花生壳/板栗壳,无,明确可追溯,优,,,0,1,中高,中高,食品支线,豆腐渣为主/客家黄酒酒糟为辅,优/良,4.273088197522858
豆制品/粮食发酵副产物,轻度,来源不明,良,,,0,1,中,低,能源化利用,花生壳/板栗壳,差（优/良也可）,5.464033903285369
豆制品/粮食发酵副产物,轻度,基本可追溯,差,,,0,0,中,中高,农用资源化,五指毛桃残余/布惊根残余/黄板树根残余/其他来源明确且安全性较可控的中药残余,优/良,0.0
果渣（柑橘/葡萄/猕猴桃等）,无,基本可追溯,良,,是,0,1,高,中,材料主线,豆腐渣/客家黄酒酒糟,良/差（优也可）,5.801164163703155
果渣（柑橘/葡萄/猕猴桃等）,轻度,来源不明,优,,否,0,1,高,低,前处理稳定化,豆腐渣/客家黄酒酒糟,优/良/差,6.933835506089448
豆制品/粮食发酵副产物,轻度,基本可追溯,差,,,0,1,中高,低,材料主线,柑橘皮/葡萄皮/猕猴桃副产物/脐橙副产物/水晶梨副产物/提取后残渣,优/良/差,5.660264541655097
花生壳/板栗壳,无,基本可追溯,差,,,1,1,中,低,能源化利用,花生壳/板栗壳,差（优/良也可）,8.94734439710234
中药残余废弃物,轻度,来源不明,良,,,0,1,高,中,材料主线,花生壳/板栗壳,优/良,6.494376045890382
果渣（柑橘/葡萄/猕猴桃等）,轻度,基本可追溯,差,,否,1,0,高,中高,食品支线,葡萄皮/柑橘皮/脐橙副产物/猕猴桃副产物,优/良,6.150552104689382
中药残余废弃物,无,来源不明,差,,,0,0,高,中,食品支线,柑橘皮/脐橙副产物/猕猴桃副产物/水晶梨副产物,优/良,2.9570786082152285
花生壳/板栗壳,无,明确可追溯,良,,,0,0,中,高,食品支线,茶渣,优,0.0
豆制品/粮食发酵副产物,严重,基本可追溯,良,,,1,1,中高,低,农用利用/兜底去向,豆腐渣/客家黄酒酒糟,差（优/良也可）,10.012926917180813
花生壳/板栗壳,无,基本可追溯,差,,,0,1,中高,低,材料主线,柑橘皮/葡萄皮/猕猴桃副产物/脐橙副产物/水晶梨副产物/提取后残渣,优/良/差,6.334498295126134
中药残余废弃物,轻度,来源不明,差,,,0,1,中,低,能源化利用,花生壳/板栗壳,差（优/良也可）,5.118219644439823
豆制品/粮食发酵副产物,严重,基本可追溯,优,,,1,1,中高,低,农用利用/兜底去向,豆腐渣/客家黄酒酒糟,差（优/良也可）,10.49391485710732
中药残余废弃物,无,基本可追溯,差,,,0,1,中高,低,农用利用/兜底去向,豆腐渣/客家黄酒酒糟,差（优/良也可）,6.206907702756761
花生壳/板栗壳,严重,来源不明,优,,,0,1,高,低,材料主线,茶渣,优/良/差,7.073483681642143
果渣（柑橘/葡萄/猕猴桃等）,轻度,明确可追溯,良,,否,0,1,高,中高,食品支线,葡萄籽,优/良,5.178825039335058
